csv_row_index,symbol,trade_type,first_message_timestamp,capital_before,capital_after,trade_amount,position_size,entry_price,entry_time,exit_price,exit_time,trade_open_price,trade_close_price,trade_open_time,trade_close_time,exit_reason,target_price,stop_price,hold_time_hours,hold_time_minutes,pnl_percent,pnl_amount,profit_target_pct,stop_loss_pct,max_hold_hours,data_points_used,total_data_points,error
10,A8,LONG,2024-07-22 12:06:33+00:00,2404.231124591193,2527.993233114453,2404.231124591193,10144.435124857355,0.237,2024-07-22T12:10:00+00:00,0.2492,2024-07-22T13:10:00+00:00,0.237,0.2492,2024-07-22T12:10:00+00:00,2024-07-22T13:10:00+00:00,time_limit,0.27254999999999996,0.23226,1.0,60.0,5.15,123.76,15.0,2.0,1.0,13.0,576.0,
11,AVAIL,LONG,2024-07-23 15:20:13+00:00,2527.993233114453,2477.433368452164,2527.993233114453,17403.230298185685,0.14526,2024-07-23T15:25:00+00:00,0.1423548,2024-07-23T16:15:00+00:00,0.14526,0.1423548,2024-07-23T15:25:00+00:00,2024-07-23T16:15:00+00:00,stop_loss_hit,0.16704899999999998,0.1423548,0.83,50.0,-2.0,-50.56,15.0,2.0,1.0,11.0,576.0,
12,G,LONG,2024-07-25 10:40:21+00:00,2477.433368452164,2530.054748552039,2477.433368452164,46983.37508917436,0.05273,2024-07-25T10:45:00+00:00,0.05385,2024-07-25T11:45:00+00:00,0.05273,0.05385,2024-07-25T10:45:00+00:00,2024-07-25T11:45:00+00:00,time_limit,0.06063949999999999,0.051675399999999996,1.0,60.0,2.12,52.62,15.0,2.0,1.0,13.0,576.0,
13,DEXE,LONG,2024-07-25 10:52:21+00:00,2530.054748552039,2479.4536535809984,2530.054748552039,257.45952463132585,9.827,2024-07-25T10:55:00+00:00,9.63046,2024-07-25T11:00:00+00:00,9.827,9.63046,2024-07-25T10:55:00+00:00,2024-07-25T11:00:00+00:00,stop_loss_hit,11.301049999999998,9.63046,0.08,5.0,-2.0,-50.6,15.0,2.0,1.0,2.0,576.0,
14,RENDER,LONG,2024-07-26 09:00:34+00:00,2479.4536535809984,2625.7970601249735,2479.4536535809984,381.10262120826906,6.506,2024-07-26T09:05:00+00:00,6.89,2024-07-26T10:05:00+00:00,6.506,6.89,2024-07-26T09:05:00+00:00,2024-07-26T10:05:00+00:00,time_limit,7.4818999999999996,6.37588,1.0,60.0,5.9,146.34,15.0,2.0,1.0,13.0,576.0,
15,L3,LONG,2024-07-31 09:53:56+00:00,2625.7970601249735,2573.2811189224735,2625.7970601249735,26614.606326018384,0.09866,2024-07-31T09:55:00+00:00,0.09668679999999999,2024-07-31T10:25:00+00:00,0.09866,0.09668679999999999,2024-07-31T09:55:00+00:00,2024-07-31T10:25:00+00:00,stop_loss_hit,0.11345899999999999,0.09668679999999999,0.5,30.0,-2.0,-52.52,15.0,2.0,1.0,7.0,576.0,
16,MAX,,2024-08-06 10:08:01+00:00,,,,,,,,,,,,,,,,,,,,,,,,,failed_to_load_data
17,USDE,,2024-08-07 10:41:10+00:00,,,,,,,,,,,,,,,,,,,,,,,,,failed_to_load_data
18,PIXFI,,2024-08-08 09:59:08+00:00,,,,,,,,,,,,,,,,,,,,,,,,,failed_to_load_data
19,MOTHER,,2024-08-08 10:40:13+00:00,,,,,,,,,,,,,,,,,,,,,,,,,failed_to_load_data
20,NEIRO,,2024-08-15 10:01:50+00:00,,,,,,,,,,,,,,,,,,,,,,,,,failed_to_load_data
21,FDUSD,,2024-08-16 10:47:02+00:00,,,,,,,,,,,,,,,,,,,,,,,,,failed_to_load_data
22,SYS,,2024-08-20 10:26:54+00:00,,,,,,,,,,,,,,,,,,,,,,,,,failed_to_load_data
23,SYN,,2024-08-20 10:28:54+00:00,,,,,,,,,,,,,,,,,,,,,,,,,failed_to_load_data
24,VOXEL,,2024-08-21 11:27:01+00:00,,,,,,,,,,,,,,,,,,,,,,,,,failed_to_load_data
25,VIDT,,2024-08-26 08:53:56+00:00,,,,,,,,,,,,,,,,,,,,,,,,,failed_to_load_data
26,SUNDOG,LONG,2024-08-26 09:03:56+00:00,2573.2811189224735,2959.2732867608443,2573.2811189224735,9460.59234897968,0.272,2024-08-26T09:05:00+00:00,0.3128,2024-08-26T09:50:00+00:00,0.272,0.3128,2024-08-26T09:05:00+00:00,2024-08-26T09:50:00+00:00,target_hit,0.3128,0.26656,0.75,45.0,15.0,385.99,15.0,2.0,1.0,10.0,576.0,
27,DOGS,LONG,2024-08-26 13:37:45+00:00,2959.2732867608443,2900.087821025628,2959.2732867608443,2470178.035693526,0.001198,2024-08-26T13:40:00+00:00,0.0011740400000000001,2024-08-26T14:10:00+00:00,0.001198,0.0011740400000000001,2024-08-26T13:40:00+00:00,2024-08-26T14:10:00+00:00,stop_loss_hit,0.0013777,0.0011740400000000001,0.5,30.0,-2.0,-59.19,15.0,2.0,1.0,7.0,576.0,
28,NULS,,2024-08-27 10:44:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,failed_to_load_data
29,ORDER,LONG,2024-08-27 11:02:01+00:00,2900.087821025628,2842.086064605115,2900.087821025628,14064.44142107482,0.2062,2024-08-27T11:05:00+00:00,0.20207599999999998,2024-08-27T11:35:00+00:00,0.2062,0.20207599999999998,2024-08-27T11:05:00+00:00,2024-08-27T11:35:00+00:00,stop_loss_hit,0.23712999999999998,0.20207599999999998,0.5,30.0,-2.0,-58.0,15.0,2.0,1.0,7.0,576.0,
30,CHESS,LONG,2024-09-02 09:36:10+00:00,2842.086064605115,2895.193158036555,2842.086064605115,17131.320461754764,0.1659,2024-09-02T09:40:00+00:00,0.169,2024-09-02T10:40:00+00:00,0.1659,0.169,2024-09-02T09:40:00+00:00,2024-09-02T10:40:00+00:00,time_limit,0.19078499999999998,0.16258199999999998,1.0,60.0,1.87,53.11,15.0,2.0,1.0,13.0,576.0,
31,SLF,LONG,2024-09-03 09:36:07+00:00,2895.193158036555,2837.2892948758235,2895.193158036555,4744.662664760005,0.6102,2024-09-03T09:40:00+00:00,0.597996,2024-09-03T10:15:00+00:00,0.6102,0.597996,2024-09-03T09:40:00+00:00,2024-09-03T10:15:00+00:00,stop_loss_hit,0.7017299999999999,0.597996,0.58,35.0,-2.0,-57.9,15.0,2.0,1.0,8.0,576.0,
32,FLUX,LONG,2024-09-04 09:04:51+00:00,2837.2892948758235,2780.543508978307,2837.2892948758235,4642.161804443429,0.6112,2024-09-04T09:05:00+00:00,0.598976,2024-09-04T09:50:00+00:00,0.6112,0.598976,2024-09-04T09:05:00+00:00,2024-09-04T09:50:00+00:00,stop_loss_hit,0.70288,0.598976,0.75,45.0,-2.0,-56.75,15.0,2.0,1.0,10.0,576.0,
33,POL,LONG,2024-09-05 09:02:43+00:00,2780.543508978307,2850.777923589564,2780.543508978307,7393.096274869202,0.3761,2024-09-05T09:05:00+00:00,0.3856,2024-09-05T10:05:00+00:00,0.3761,0.3856,2024-09-05T09:05:00+00:00,2024-09-05T10:05:00+00:00,time_limit,0.4325149999999999,0.36857799999999996,1.0,60.0,2.53,70.23,15.0,2.0,1.0,13.0,576.0,
34,QUICK,LONG,2024-09-10 09:44:10+00:00,2850.777923589564,2885.718965190878,2850.777923589564,68511.84627708637,0.04161,2024-09-10T09:45:00+00:00,0.04212,2024-09-10T10:45:00+00:00,0.04161,0.04212,2024-09-10T09:45:00+00:00,2024-09-10T10:45:00+00:00,time_limit,0.0478515,0.0407778,1.0,60.0,1.23,34.94,15.0,2.0,1.0,13.0,576.0,
35,CAT,,2024-09-13 12:13:47+00:00,,,,,,,,,,,,,,,,,,,,,,,,,failed_to_load_data
36,NEIROCTO,,2024-09-16 11:50:02+00:00,,,,,,,,,,,,,,,,,,,,,,,,,failed_to_load_data
37,ALEO,LONG,2024-09-19 09:21:46+00:00,2885.718965190878,2828.0045858870603,2885.718965190878,874.2218683361743,3.3009,2024-09-19T09:25:00+00:00,3.234882,2024-09-19T09:30:00+00:00,3.3009,3.234882,2024-09-19T09:25:00+00:00,2024-09-19T09:30:00+00:00,stop_loss_hit,3.796035,3.234882,0.08,5.0,-2.0,-57.71,15.0,2.0,1.0,2.0,576.0,
