symbol,trade_type,first_message_timestamp,capital_before,capital_after,trade_amount,position_size,entry_price,entry_time,exit_price,exit_time,trade_open_price,trade_close_price,trade_open_time,trade_close_time,exit_reason,target_price,stop_price,hold_time_hours,hold_time_minutes,pnl_percent,pnl_amount,profit_target_pct,stop_loss_pct,max_hold_hours,data_points_used,total_data_points,error
FORM,LONG,2025-03-19 07:30:16+00:00,3000.015488185616,2940.015178421904,3000.015488185616,1500.007744092808,2.0,2025-03-19T08:00:00+00:00,1.96,2025-03-19T08:05:00+00:00,2.0,1.96,2025-03-19T08:00:00+00:00,2025-03-19T08:05:00+00:00,stop_loss_hit,2.3,1.96,0.08,5.0,-2.0,-60.0,15.0,2.0,2.0,2.0,576.0,
BR,LONG,2025-03-21 10:46:17+00:00,2940.015178421904,2881.2148748534655,2940.015178421904,17334.995155789526,0.1696,2025-03-21T12:45:00+00:00,0.166208,2025-03-21T13:20:00+00:00,0.1696,0.166208,2025-03-21T12:45:00+00:00,2025-03-21T13:20:00+00:00,stop_loss_hit,0.19504,0.166208,0.58,35.0,-2.0,-58.8,15.0,2.0,2.0,8.0,576.0,
PLUME,LONG,2025-03-21 10:46:17+00:00,2881.2148748534655,2823.5905773563964,2881.2148748534655,14235.251357971667,0.2024,2025-03-21T13:00:00+00:00,0.198352,2025-03-21T13:10:00+00:00,0.2024,0.198352,2025-03-21T13:00:00+00:00,2025-03-21T13:10:00+00:00,stop_loss_hit,0.23275999999999997,0.198352,0.17,10.0,-2.0,-57.62,15.0,2.0,2.0,3.0,576.0,
NIL,LONG,2025-03-24 12:30:23+00:00,2823.5905773563964,3247.1291639598553,2823.5905773563964,3657.5007478709795,0.772,2025-03-24T13:00:00+00:00,0.8877999999999999,2025-03-24T13:05:00+00:00,0.772,0.8877999999999999,2025-03-24T13:00:00+00:00,2025-03-24T13:05:00+00:00,target_hit,0.8877999999999999,0.75656,0.08,5.0,15.0,423.54,15.0,2.0,2.0,2.0,576.0,
PARTI,LONG,2025-03-25 12:30:08+00:00,3247.1291639598553,3182.186580680658,3247.1291639598553,8117.822909899638,0.4,2025-03-25T13:00:00+00:00,0.392,2025-03-25T13:05:00+00:00,0.4,0.392,2025-03-25T13:00:00+00:00,2025-03-25T13:05:00+00:00,stop_loss_hit,0.45999999999999996,0.392,0.08,5.0,-2.0,-64.94,15.0,2.0,2.0,2.0,576.0,
JELLYJELLY,LONG,2025-03-26 15:16:12+00:00,3182.186580680658,3118.5428490670447,3182.186580680658,130846.48769246126,0.02432,2025-03-26T16:00:00+00:00,0.0238336,2025-03-26T16:05:00+00:00,0.02432,0.0238336,2025-03-26T16:00:00+00:00,2025-03-26T16:05:00+00:00,stop_loss_hit,0.027968,0.0238336,0.08,5.0,-2.0,-63.64,15.0,2.0,2.0,2.0,576.0,
MAVIA,LONG,2025-03-26 15:16:12+00:00,3118.5428490670447,3586.324276427101,3118.5428490670447,7462.414092048444,0.4179,2025-03-26T17:00:00+00:00,0.48058499999999993,2025-03-26T18:15:00+00:00,0.4179,0.48058499999999993,2025-03-26T17:00:00+00:00,2025-03-26T18:15:00+00:00,target_hit,0.48058499999999993,0.40954199999999996,1.25,75.0,15.0,467.78,15.0,2.0,2.0,16.0,576.0,
PAXG,LONG,2025-03-27 07:07:26+00:00,3586.324276427101,3663.6438915166036,3586.324276427101,1.200242395055924,2988.0,2025-03-27T10:30:00+00:00,3052.42,2025-03-27T12:30:00+00:00,2988.0,3052.42,2025-03-27T10:30:00+00:00,2025-03-27T12:30:00+00:00,time_limit,3436.2,2928.24,2.0,120.0,2.16,77.32,15.0,2.0,2.0,25.0,576.0,
WAL,LONG,2025-03-27 13:59:45+00:00,3663.6438915166036,3590.3710136862715,3663.6438915166036,7461.596520400415,0.491,2025-03-27T15:30:00+00:00,0.48118,2025-03-27T15:35:00+00:00,0.491,0.48118,2025-03-27T15:30:00+00:00,2025-03-27T15:35:00+00:00,stop_loss_hit,0.56465,0.48118,0.08,5.0,-2.0,-73.27,15.0,2.0,2.0,2.0,576.0,
FUN,LONG,2025-03-31 07:02:10+00:00,3590.3710136862715,3518.5635934125457,3590.3710136862715,717930.6166139315,0.005001,2025-03-31T08:30:00+00:00,0.00490098,2025-03-31T08:45:00+00:00,0.005001,0.00490098,2025-03-31T08:30:00+00:00,2025-03-31T08:45:00+00:00,stop_loss_hit,0.00575115,0.00490098,0.25,15.0,-2.0,-71.81,15.0,2.0,2.0,4.0,576.0,
MLN,LONG,2025-03-31 07:02:10+00:00,3518.5635934125457,3448.192321544295,3518.5635934125457,285.82969889622626,12.31,2025-03-31T08:45:00+00:00,12.0638,2025-03-31T08:50:00+00:00,12.31,12.0638,2025-03-31T08:45:00+00:00,2025-03-31T08:50:00+00:00,stop_loss_hit,14.1565,12.0638,0.08,5.0,-2.0,-70.37,15.0,2.0,2.0,2.0,576.0,
GUN,LONG,2025-03-31 12:30:38+00:00,3448.192321544295,3379.228475113409,3448.192321544295,30115.216782046242,0.1145,2025-03-31T13:00:00+00:00,0.11221,2025-03-31T13:05:00+00:00,0.1145,0.11221,2025-03-31T13:00:00+00:00,2025-03-31T13:05:00+00:00,stop_loss_hit,0.131675,0.11221,0.08,5.0,-2.0,-68.96,15.0,2.0,2.0,2.0,576.0,
ATH,LONG,2025-04-02 13:38:08+00:00,3379.228475113409,3311.643905611141,3379.228475113409,106164.89082982749,0.03183,2025-04-02T15:45:00+00:00,0.031193399999999996,2025-04-02T15:50:00+00:00,0.03183,0.031193399999999996,2025-04-02T15:45:00+00:00,2025-04-02T15:50:00+00:00,stop_loss_hit,0.03660449999999999,0.031193399999999996,0.08,5.0,-2.0,-67.58,15.0,2.0,2.0,2.0,576.0,
BABY,LONG,2025-04-05 10:24:55+00:00,3311.643905611141,3245.411027498918,3311.643905611141,45489.61408806512,0.0728,2025-04-05T13:30:00+00:00,0.071344,2025-04-05T13:35:00+00:00,0.0728,0.071344,2025-04-05T13:30:00+00:00,2025-04-05T13:35:00+00:00,stop_loss_hit,0.08372,0.071344,0.08,5.0,-2.0,-66.23,15.0,2.0,2.0,2.0,576.0,
FORTH,LONG,2025-04-08 06:21:10+00:00,3245.411027498918,3180.5028069489395,3245.411027498918,1307.5789796530692,2.482,2025-04-08T08:30:00+00:00,2.43236,2025-04-08T08:40:00+00:00,2.482,2.43236,2025-04-08T08:30:00+00:00,2025-04-08T08:40:00+00:00,stop_loss_hit,2.8543,2.43236,0.17,10.0,-2.0,-64.91,15.0,2.0,2.0,3.0,576.0,
PROMPT,LONG,2025-04-11 04:35:18+00:00,3180.5028069489395,3657.57822799128,3180.5028069489395,19440.726203844373,0.1636,2025-04-11T06:30:00+00:00,0.18813999999999997,2025-04-11T06:35:00+00:00,0.1636,0.18813999999999997,2025-04-11T06:30:00+00:00,2025-04-11T06:35:00+00:00,target_hit,0.18813999999999997,0.160328,0.08,5.0,15.0,477.08,15.0,2.0,2.0,2.0,576.0,
XCN,LONG,2025-04-11 13:15:15+00:00,3657.57822799128,4059.458349664542,3657.57822799128,156373.58819971269,0.02339,2025-04-11T15:30:00+00:00,0.02596,2025-04-11T17:30:00+00:00,0.02339,0.02596,2025-04-11T15:30:00+00:00,2025-04-11T17:30:00+00:00,time_limit,0.0268985,0.0229222,2.0,120.0,10.99,401.88,15.0,2.0,2.0,25.0,576.0,
PUMP,LONG,2025-04-12 12:55:12+00:00,4059.458349664542,3978.2691826712507,4059.458349664542,42458.512181409285,0.09561,2025-04-12T14:30:00+00:00,0.0936978,2025-04-12T14:35:00+00:00,0.09561,0.0936978,2025-04-12T14:30:00+00:00,2025-04-12T14:35:00+00:00,stop_loss_hit,0.1099515,0.0936978,0.08,5.0,-2.0,-81.19,15.0,2.0,2.0,2.0,576.0,
STO,LONG,2025-04-12 12:55:12+00:00,3978.2691826712507,4575.009560071938,3978.2691826712507,52755.19404152301,0.07541,2025-04-12T14:45:00+00:00,0.08672149999999999,2025-04-12T14:50:00+00:00,0.07541,0.08672149999999999,2025-04-12T14:45:00+00:00,2025-04-12T14:50:00+00:00,target_hit,0.08672149999999999,0.0739018,0.08,5.0,15.0,596.74,15.0,2.0,2.0,2.0,576.0,
