symbol,timestamp,coin_name,message,exchange,listing_announcement_time,actual_start_time,opening_price,closing_price,highest_price,lowest_price,highest_gain_percent,lowest_gain_percent,highest_price_time_min,lowest_price_time_min,data_points_count,analysis_period,price_data_saved,error
REXUSDT,2025-01-09 08:02:19+00:00,REX,$REX listed on Bybit futures,bybit,2025-01-09T08:02:19+00:00,2025-01-09T10:00:00+00:00,0.04277,0.03459,0.05397,0.03275,26.19,-23.43,30.0,640.0,553.0,48 hours from listing announcement (5m intervals),REXUSDT.json,
FLOCKUSDT,2025-01-09 08:02:19+00:00,FLOCK,$FLOCK listed on Bybit futures,bybit,2025-01-09T08:02:19+00:00,2025-01-09T10:00:00+00:00,0.3129,0.3337,0.3679,0.2701,17.58,-13.68,1755.0,620.0,553.0,48 hours from listing announcement (5m intervals),FLOCKUSDT.json,
CGPTUSDT,2025-01-10 11:04:35+00:00,CGPT,$CGPT listed on Bybit futures,bybit,2025-01-10T11:04:35+00:00,2025-01-10T11:05:00+00:00,0.33478,0.30036,0.41076,0.29759,22.7,-11.11,620.0,2865.0,576.0,48 hours from listing announcement (5m intervals),CGPTUSDT.json,
ALUUSDT,2025-01-14 08:02:04+00:00,ALU,$ALU listed on Bybit futures,bybit,2025-01-14T08:02:04+00:00,2025-01-14T10:00:00+00:00,0.15544,0.14601,0.181,0.13268,16.44,-14.64,0.0,345.0,553.0,48 hours from listing announcement (5m intervals),ALUUSDT.json,
SUSDT,2025-01-15 09:04:58+00:00,S,$S listed on Bybit futures,bybit,2025-01-15T09:04:58+00:00,2025-01-15T09:10:00+00:00,0.7241,0.7834,0.8551,0.7026,18.09,-2.97,665.0,25.0,575.0,48 hours from listing announcement (5m intervals),SUSDT.json,
VRUSDT,2025-01-16 09:56:38+00:00,VR,$VR added to Bybit futures,,,,,,,,,,,,,,,not currently listed on Bybit futures
DUCKUSDT,2025-01-16 10:38:28+00:00,DUCK,$DUCK added to Bybit futures,bybit,2025-01-16T10:38:28+00:00,2025-01-16T10:45:00+00:00,0.012213,0.008116,0.014159,0.007832,15.93,-35.87,20.0,2625.0,575.0,48 hours from listing announcement (5m intervals),DUCKUSDT.json,
WUSDT,2025-01-17 08:00:01+00:00,W,$W listed on Bybit futures,,,,,,,,,,,,,,,not currently listed on Bybit futures
PIPPINUSDT,2025-01-17 09:37:28+00:00,PIPPIN,$PIPPIN listed on Bybit futures,bybit,2025-01-17T09:37:28+00:00,2025-01-17T09:40:00+00:00,0.18109,0.11985,0.19179,0.10119,5.91,-44.12,15.0,1110.0,576.0,48 hours from listing announcement (5m intervals),PIPPINUSDT.json,
SOLVUSDT,2025-01-17 10:32:19+00:00,SOLV,$SOLV listed on Bybit futures,bybit,2025-01-17T10:32:19+00:00,2025-01-17T10:35:00+00:00,0.14638,0.08298,0.16308,0.07428,11.41,-49.26,5.0,2800.0,576.0,48 hours from listing announcement (5m intervals),SOLVUSDT.json,
NCUSDT,2025-01-17 10:40:04+00:00,NC,$NC listed on Bybit futures,bybit,2025-01-17T10:40:04+00:00,2025-01-17T10:45:00+00:00,0.20493,0.14959,0.33475,0.13538,63.35,-33.94,120.0,2780.0,576.0,48 hours from listing announcement (5m intervals),NCUSDT.json,
TRUMPUSDT,2025-01-18 13:27:44+00:00,TRUMP,$TRUMP listed on Bybit futures,,,,,,,,,,,,,,,not currently listed on Bybit futures
MELANIAUSDT,2025-01-20 05:22:08+00:00,MELANIA,$MELANIA listed on Bybit futures,bybit,2025-01-20T05:22:08+00:00,2025-01-20T05:25:00+00:00,10.777,4.118,14.496,3.28,34.51,-69.56,90.0,1170.0,576.0,48 hours from listing announcement (5m intervals),MELANIAUSDT.json,
WAXPUSDT,2025-01-22 09:00:02+00:00,WAXP,$WAXP listed on Bybit futures,,,,,,,,,,,,,,,not currently listed on Bybit futures
BUZZUSDT,2025-01-22 09:58:37+00:00,BUZZ,$BUZZ listed on Bybit futures,,,,,,,,,,,,,,,not currently listed on Bybit futures
JUSDT,2025-01-22 12:03:55+00:00,J,$J listed on Bybit futures,bybit,2025-01-22T12:03:55+00:00,2025-01-22T12:05:00+00:00,0.6645,0.368,0.7098,0.3513,6.82,-47.13,15.0,2265.0,576.0,48 hours from listing announcement (5m intervals),JUSDT.json,
VINEUSDT,2025-01-23 11:52:59+00:00,VINE,$VINE listed on Bybit futures,,,,,,,,,,,,,,,not currently listed on Bybit futures
ANIMEUSDT,2025-01-23 14:28:08+00:00,ANIME,$ANIME listed on Bybit futures,bybit,2025-01-23T14:28:08+00:00,2025-01-23T14:30:00+00:00,0.09865,0.05618,0.10056,0.05467,1.94,-44.58,25.0,2635.0,576.0,48 hours from listing announcement (5m intervals),ANIMEUSDT.json,
PLUMEUSDT,2025-01-24 09:24:35+00:00,PLUME,$PLUME listed on Bybit futures,bybit,2025-01-24T09:24:35+00:00,2025-01-24T09:25:00+00:00,0.1322,0.1483,0.15257,0.10033,15.41,-24.11,2860.0,235.0,576.0,48 hours from listing announcement (5m intervals),PLUMEUSDT.json,
MICHIUSDT,2025-01-26 09:31:55+00:00,MICHI,$MICHI listed on Bybit futures,bybit,2025-01-26T09:31:55+00:00,2025-01-27T10:00:00+00:00,0.09154,0.09428,0.1072,0.0805,17.11,-12.06,0.0,0.0,283.0,48 hours from listing announcement (5m intervals),MICHIUSDT.json,
VVVUSDT,2025-01-28 04:49:58+00:00,VVV,$VVV listed on Bybit futures,,,,,,,,,,,,,,,not currently listed on Bybit futures
BERAUSDT,2025-02-05 12:51:42+00:00,BERA,$BERA soon on Bybit futures,bybit,2025-02-05T12:51:42+00:00,2025-02-06T13:35:00+00:00,11.556,7.545,13.871,6.568,20.03,-43.16,30.0,420.0,280.0,48 hours from listing announcement (5m intervals),BERAUSDT.json,
BERAUSDT,2025-02-06 13:32:18+00:00,BERA,$BERA listed on Bybit futures,bybit,2025-02-06T13:32:18+00:00,2025-02-06T13:35:00+00:00,11.556,6.624,13.871,6.204,20.03,-46.31,30.0,2505.0,576.0,48 hours from listing announcement (5m intervals),BERAUSDT.json,
TSTBSCUSDT,2025-02-09 11:37:29+00:00,TSTBSC,$TSTBSC listed on Bybit futures,,,,,,,,,,,,,,,not currently listed on Bybit futures
ELONUSDT,2025-02-10 09:49:08+00:00,ELON,$ELON listed on Bybit futures,,,,,,,,,,,,,,,not currently listed on Bybit futures
XDCUSDT,2025-02-10 10:01:23+00:00,XDC,$XDC listed on Bybit futures,,,,,,,,,,,,,,,not currently listed on Bybit futures
