profit_target_pct,stop_loss_pct,max_hold_hours,total_trades,win_rate,avg_profit_pct,median_profit_pct,max_profit_pct,min_profit_pct,std_profit_pct,avg_win_pct,avg_loss_pct,sharpe_ratio,avg_hold_time_hours,initial_capital,final_capital,total_return_pct,profit_target_hits,stop_loss_hits,max_hold_exits,end_of_data_exits
30,2,24,143,9.79,0.41,-2.0,30.0,-2.0,8.03,22.61,-1.99,0.052,2.5,2000.0,2442.17,22.11,9,128,5,1
5,5,12,143,51.75,0.25,5.0,5.0,-5.0,4.93,4.98,-4.82,0.051,1.56,2000.0,2404.45,20.22,73,65,5,0
100,10,1,143,51.05,0.41,0.2,34.48,-13.27,7.74,6.13,-5.55,0.053,0.91,2000.0,2379.54,18.98,0,25,118,0
15,2,4,143,17.48,0.25,-2.0,15.0,-2.0,5.41,10.75,-1.97,0.047,0.82,2000.0,2366.21,18.31,16,116,11,0
5,5,4,143,51.05,0.23,0.16,5.0,-5.0,4.69,4.65,-4.38,0.048,1.11,2000.0,2364.97,18.25,67,57,19,0
25,2,48,143,9.09,0.36,-2.0,25.0,-2.0,7.54,23.98,-2.0,0.048,2.35,2000.0,2352.64,17.63,12,130,0,1
25,2,6,143,13.99,0.3,-2.0,25.0,-2.0,6.76,14.43,-2.0,0.044,1.23,2000.0,2296.35,14.82,8,123,12,0
25,5,2,143,36.36,0.4,-3.26,25.0,-5.14,8.17,8.4,-4.17,0.049,1.27,2000.0,2295.04,14.75,10,66,67,0
50,5,2,143,36.36,0.47,-3.26,50.0,-5.14,9.51,8.58,-4.17,0.049,1.33,2000.0,2268.7,13.43,3,66,74,0
5,5,48,143,51.75,0.2,5.0,5.0,-5.0,4.98,5.0,-4.95,0.039,2.06,2000.0,2218.16,10.91,74,68,0,1
25,2,12,143,11.89,0.29,-2.0,25.0,-2.0,7.05,17.26,-2.0,0.041,1.62,2000.0,2215.86,10.79,10,126,7,0
5,5,24,143,51.75,0.19,5.0,5.0,-5.0,4.95,4.93,-4.9,0.039,1.84,2000.0,2205.0,10.25,73,67,3,0
10,5,2,143,40.56,0.24,-2.15,10.0,-5.14,6.08,6.69,-4.16,0.04,1.02,2000.0,2195.78,9.79,35,62,46,0
15,25,2,143,48.95,0.59,-0.03,15.0,-25.0,10.15,8.39,-6.9,0.058,1.68,2000.0,2162.67,8.13,31,6,106,0
30,5,6,143,27.27,0.51,-5.0,30.0,-5.0,10.34,14.1,-4.58,0.05,2.78,2000.0,2127.76,6.39,11,90,42,0
30,2,48,143,8.39,0.31,-2.0,30.0,-2.0,7.96,25.57,-2.0,0.039,2.97,2000.0,2127.22,6.36,9,131,0,3
50,2,2,143,17.48,0.24,-2.0,50.0,-2.0,7.2,10.54,-1.95,0.033,0.74,2000.0,2080.2,4.01,2,114,27,0
20,2,6,143,14.69,0.18,-2.0,20.0,-2.0,6.02,12.85,-2.0,0.03,1.17,2000.0,2050.64,2.53,10,122,11,0
25,5,6,143,27.27,0.45,-5.0,25.0,-5.0,9.81,13.85,-4.58,0.046,2.64,2000.0,2044.05,2.2,16,90,37,0
5,20,2,143,62.24,0.24,5.0,5.0,-20.0,6.84,4.53,-6.82,0.036,1.15,2000.0,1979.65,-1.02,78,6,59,0
15,15,2,143,47.55,0.43,-0.23,15.0,-15.0,9.43,8.19,-6.6,0.046,1.61,2000.0,1976.12,-1.19,29,17,97,0
20,5,2,143,36.36,0.23,-3.26,20.0,-5.14,7.48,7.92,-4.17,0.03,1.24,2000.0,1905.87,-4.71,12,66,65,0
10,25,2,143,51.75,0.39,0.07,10.0,-25.0,8.92,7.12,-6.84,0.043,1.52,2000.0,1900.45,-4.98,48,5,90,0
20,2,24,143,11.19,0.14,-2.0,20.0,-2.0,6.35,17.09,-1.99,0.022,1.98,2000.0,1888.74,-5.56,13,126,4,0
30,2,12,143,11.89,0.18,-2.0,30.0,-2.0,7.17,16.32,-2.0,0.025,1.79,2000.0,1881.44,-5.93,7,126,10,0
30,5,2,143,36.36,0.25,-3.26,30.0,-5.14,8.15,7.98,-4.17,0.03,1.31,2000.0,1862.8,-6.86,6,66,71,0
100,2,2,143,17.48,0.12,-2.0,50.37,-2.0,6.49,9.86,-1.95,0.018,0.75,2000.0,1843.49,-7.83,0,114,29,0
50,2,4,143,14.69,0.17,-2.0,50.0,-2.0,7.54,12.63,-1.97,0.023,1.07,2000.0,1837.12,-8.14,2,120,21,0
20,2,12,143,12.59,0.09,-2.0,20.0,-2.0,6.07,14.63,-2.0,0.015,1.54,2000.0,1803.89,-9.81,11,125,7,0
20,2,2,143,18.18,0.05,-2.0,20.0,-2.0,5.15,9.0,-1.94,0.009,0.71,2000.0,1795.59,-10.22,6,113,24,0
20,2,48,143,9.79,0.1,-2.0,20.0,-2.0,6.4,19.41,-2.0,0.015,2.28,2000.0,1765.09,-11.75,13,129,0,1
100,2,4,143,14.69,0.12,-2.0,65.15,-2.0,7.55,12.3,-1.97,0.016,1.1,2000.0,1725.76,-13.71,0,120,23,0
30,2,4,143,14.69,0.06,-2.0,30.0,-2.0,6.43,11.88,-1.97,0.01,1.04,2000.0,1689.74,-15.51,4,120,19,0
10,15,2,143,50.35,0.23,0.02,10.0,-15.0,8.36,7.04,-6.67,0.028,1.44,2000.0,1674.68,-16.27,46,16,81,0
100,2,12,143,11.19,0.21,-2.0,100.0,-2.0,9.94,17.76,-2.0,0.021,2.13,2000.0,1657.56,-17.12,1,127,15,0
5,10,2,143,58.04,0.05,5.0,5.0,-10.0,5.96,4.55,-6.18,0.008,0.97,2000.0,1650.48,-17.48,73,29,41,0
