capital,pnl_amount,pnl_percent,trade_number
16969.088411022953,-346.30792675557126,-2.0000000000000044,101
16629.706642802492,-339.3817682204605,-2.000000000000009,102
16297.11250994644,-332.59413285605126,-2.000000000000009,103
15971.17025974751,-325.9422501989299,-2.0000000000000067,104
15651.746854552559,-319.4234051949516,-2.000000000000009,105
15338.711917461507,-313.03493709105163,-2.0000000000000027,106
15031.937679112278,-306.7742383492291,-1.9999999999999931,107
17286.728330979116,2254.7906518668397,14.999999999999986,108
19879.73758062598,2593.0092496468656,14.999999999999988,109
19482.14282901346,-397.5947516125181,-1.9999999999999925,110
19092.49997243319,-389.642856580269,-1.9999999999999987,111
18710.649972984524,-381.84999944866547,-2.000000000000009,112
18336.436973524833,-374.2129994596906,-2.000000000000001,113
21086.902519553554,2750.465546028722,14.999999999999986,114
